Block,Isolate,Cultivar_number,Cultivar_name,24,30,36,42,48,54,60,66,AUMPC (48),AUMPC (66 h),X__1,X__2,X__3,X__4
43,2D,7,IPR Uirapuru,0.091,0.463,0.759,1.713,2.283,2.897,3.631,4.773,25.823999999999998,86.16,NA,NA,NA,NA
50,2D,7,IPR Uirapuru,0.001,0.511,1.06,1.606,2.446,4.971,5.24,5.718,26.415000000000006,112.17300000000003,NA,NA,NA,NA
53,2D,7,IPR Uirapuru,0.557,0.662,1.22,1.529,2.283,2.729,3.178,4.459,35.67,91.338,NA,NA,NA,NA
60,2D,7,IPR Uirapuru,0.004,0.34,1.019,1.415,1.678,2.476,2.661,3.424,21.738,67.866,NA,NA,NA,NA
65,2D,7,IPR Uirapuru,0.899,1.791,3.244,5.6,7.98,14.713,17.503,20.169,101.235,378.978,NA,NA,NA,NA
2,2B,8,IPR Tuiuiu,0.002,0.539,1.425,3.095,7.049,NA,NA,NA,51.531,NA,NA,NA,NA,NA
8,2B,8,IPR Tuiuiu,0.486,1.608,2.469,4.413,6.656,NA,NA,NA,78.19799999999998,NA,NA,NA,NA,NA
16,2B,8,IPR Tuiuiu,1.678,4.845,7.927,11.726,20.836,NA,NA,NA,234.66599999999997,NA,NA,NA,NA,NA
21,2B,8,IPR Tuiuiu,1.742,3.261,6.917,12.128,17.93,NA,NA,NA,213.75600000000003,NA,NA,NA,NA,NA
24,2B,8,IPR Tuiuiu,1.041,2.156,2.642,4.584,7.439,NA,NA,NA,94.224,NA,NA,NA,NA,NA
33,2B,8,IPR Tuiuiu,1.748,3.726,5.14,9.641,14.741,NA,NA,NA,181.48499999999999,NA,NA,NA,NA,NA
40,2D,8,IPR Tuiuiu,0.245,0.935,1.395,2.318,4.28,6.894,9.911,14.102,44.403,200.379,NA,NA,NA,NA
46,2D,8,IPR Tuiuiu,0.364,0.802,1.235,1.96,2.935,3.906,5.099,6.4,38.247,120.28200000000001,NA,NA,NA,NA
51,2D,8,IPR Tuiuiu,0.002,0.516,0.985,1.454,2.191,3.389,4.471,5.681,24.333,95.10900000000002,NA,NA,NA,NA
57,2D,8,IPR Tuiuiu,0.13,0.548,1.115,1.972,3.987,6.788,9.947,14.505,35.721,191.607,NA,NA,NA,NA
61,2D,8,IPR Tuiuiu,0.602,0.912,1.563,2.743,3.874,7.569,8.735,12.599,51.96000000000001,199.203,NA,NA,NA,NA
66,2D,8,IPR Tuiuiu,0.41,1.123,2.021,3.966,6.255,9.941,13.107,17.865,67.575,278.22300000000007,NA,NA,NA,NA
3,2B,9,IPR Andorinha,1.852,3.454,6.293,9.63,13.772,NA,NA,NA,185.358,NA,NA,NA,NA,NA
9,2B,9,IPR Andorinha,1.59,4.147,5.686,9.565,14.815,NA,NA,NA,184.68300000000002,NA,NA,NA,NA,NA
16,2B,9,IPR Andorinha,2.502,5.616,8.8,12.827,20.765,NA,NA,NA,263.28299999999996,NA,NA,NA,NA,NA
18,2B,9,IPR Andorinha,0.971,2.654,5.747,9.5,15.739,NA,NA,NA,169.188,NA,NA,NA,NA,NA
26,2B,9,IPR Andorinha,1.153,2.785,4.82,7.51,12.756,NA,NA,NA,146.25300000000001,NA,NA,NA,NA,NA
31,2B,9,IPR Andorinha,1.328,3.228,6.279,9.827,12.824,NA,NA,NA,174.39600000000004,NA,NA,NA,NA,NA
39,2D,9,IPR Andorinha,0.002,0.237,0.586,1.112,1.534,2.429,3.457,5.252,16.242,71.91599999999998,NA,NA,NA,NA
42,2D,9,IPR Andorinha,0.275,0.737,0.999,1.414,2.12,2.995,3.712,5.782,29.385,93.333,NA,NA,NA,NA
48,2D,9,IPR Andorinha,0.378,0.73,0.874,1.863,2.754,4.603,7.323,10.249,34.734,145.29900000000004,NA,NA,NA,NA
