Block,Cultivar_number,Cultivar_name,24,30,36,42,48,AUMPC
20,22,IAC Diplomata,0.608,1.759,2.525,3.799,6.208,76.242
25,22,IAC Diplomata,0.135,0.659,1.08,2.091,3.513,35.544
29,22,IAC Diplomata,1.122,1.964,2.901,5.348,10.33,109.098
35,22,IAC Diplomata,0.233,1.03,1.868,3.14,5.887,57.384
40,22,IAC Diplomata,0.732,1.453,2.538,3.641,6.734,76.974
46,22,IAC Diplomata,0.778,2.318,2.684,6.001,8.589,103.455
47,22,IAC Diplomata,1.256,2.276,3.386,4.79,8.48,106.992
55,22,IAC Diplomata,0.12,0.82,1.403,3.881,6.03,56.514
5,23,IAC Kaburé,0.772,2.24,3.186,6.991,9.466,114.48
8,23,IAC Kaburé,1.261,3.632,4.451,7.079,11.904,145.599
11,23,IAC Kaburé,2.152,4.462,7.956,10.628,15.251,216.309
18,23,IAC Kaburé,0.98,2.991,4.663,7.339,12.303,141.567
19,23,IAC Kaburé,1.622,3.674,5.227,8.999,11.063,164.919
27,23,IAC Kaburé,1.406,3.413,5.411,8.609,13.861,167.271
30,23,IAC Kaburé,0.994,3.047,5.481,10.031,11.663,161.253
37,23,IAC Kaburé,0.311,1.65,2.084,3.463,5.446,64.185
41,23,IAC Kaburé,1.304,3.097,5.168,8.137,11.103,151.281
44,23,IAC Kaburé,0.689,2.285,3.293,5.662,7.619,100.632
47,23,IAC Kaburé,0.876,2.244,3.895,7.263,10.099,123.849
56,23,IAC Kaburé,0.76,1.669,2.705,4.884,6.698,87.042
