Section,Block,Isolate_number,Isolate,Collection,24 horas,30 horas,36 horas,42 horas,48 horas,AUMPD
1,5,9,978C,third,3.16,6.776,11.52,19.042,32.276,368.256
1,7,9,978C,third,4.347,8.342,10.336,15.659,21.556,335.895
1,9,9,978C,third,1.451,5.255,8.963,15.013,21.631,262.044
1,11,9,978C,third,1.385,3.115,5.042,6.467,10.919,141.276
1,14,9,978C,third,2.565,6.205,8.335,17.566,18.037,285.222
1,17,9,978C,third,2.962,6.565,11.005,17.303,21.928,319.452
1,19,9,978C,third,2.4,5.009,10.107,21.454,16.455,304.785
1,22,9,978C,third,4.156,8.045,13.716,24.242,28.151,422.811
1,23,9,978C,third,2.438,5.069,9.24,16.829,20.289,284.265
1,3,10,978E,third,0.788,2.404,4.481,6.85,13.338,134.244
1,5,10,978E,third,0.227,1.666,3.991,6.479,14.602,120.027
1,6,10,978E,third,0.6,1.606,3,5.458,9.311,97.317
1,10,10,978E,third,1.905,5.235,7.207,11.612,19.556,231.567
1,11,10,978E,third,2.789,4.647,8.654,12.379,18.384,251.067
1,14,10,978E,third,2.31,5.122,9.069,15.84,20.059,275.013
1,16,10,978E,third,0.504,1.751,3.615,5.726,10.142,104.538
1,19,10,978E,third,2.469,5.42,10.978,11.949,19.702,266.223
1,21,10,978E,third,3.288,5.758,10.806,13.088,16.849,277.779
1,23,10,978E,third,0.97,2.389,4.79,6.655,10.047,127.695
2,1,11,973A,first,NA,NA,NA,NA,NA,NA
2,5,11,973A,first,NA,NA,NA,NA,NA,NA
2,7,11,973A,first,NA,NA,NA,NA,NA,NA
2,9,11,973A,first,NA,NA,NA,NA,NA,NA
2,11,11,973A,first,NA,NA,NA,NA,NA,NA
2,14,11,973A,first,NA,NA,NA,NA,NA,NA
2,18,11,973A,first,NA,NA,NA,NA,NA,NA
2,19,11,973A,first,NA,NA,NA,NA,NA,NA
2,21,11,973A,first,NA,NA,NA,NA,NA,NA
2,25,11,973A,first,NA,NA,NA,NA,NA,NA
2,1,12,973E,first,0.995,2.168,3.583,6.225,10.746,119.019
2,5,12,973E,first,0.61,1.095,1.57,2.14,3.55,48.63
