MCG,AP-GenoID,InventoryID,in-JRS-collection,AP-Continent_Country_Population,JRS-Isolate #,JRS-Source (Host),JRS-Geographical Location,JRS-Notes,date
V,974C,974C,TRUE,South America_Brazil_Rio Grande do Sul,974C,soybean,"Vacaria/RS, Brazil",single-sclerotium isolate from the original (974),2012-01-01
O,974D,974D,TRUE,South America_Brazil_Rio Grande do Sul,974D,soybean,"Vacaria/RS, Brazil",single-sclerotium isolate from the original (974),2012-01-01
O,974E,974E,TRUE,South America_Brazil_Rio Grande do Sul,974E,soybean,"Vacaria/RS, Brazil",single-sclerotium isolate from the original (974),2012-01-01
Q,975A,975A,TRUE,South America_Brazil_Rio Grande do Sul,975A,soybean,"Coxilha/RS, Brazil",single-sclerotium isolate from the original (975),2012-01-01
R,975B,975B,TRUE,South America_Brazil_Rio Grande do Sul,975B,soybean,"Coxilha/RS, Brazil",single-sclerotium isolate from the original (975),2012-01-01
R,975C,975C,TRUE,South America_Brazil_Rio Grande do Sul,975C,soybean,"Coxilha/RS, Brazil",single-sclerotium isolate from the original (975),2012-01-01
W,975D,975D,TRUE,South America_Brazil_Rio Grande do Sul,975D,soybean,"Coxilha/RS, Brazil",single-sclerotium isolate from the original (975),2012-01-01
Q,975E,975E,TRUE,South America_Brazil_Rio Grande do Sul,975E,soybean,"Coxilha/RS, Brazil",single-sclerotium isolate from the original (975),2012-01-01
S,976A,976A,TRUE,South America_Brazil_Paran‡,976A,soybean,"Faxinal/PR, Brazil",single-sclerotium isolate from the original (976),2012-01-01
T,976B,976B,TRUE,South America_Brazil_Paran‡,976B,soybean,"Faxinal/PR, Brazil",single-sclerotium isolate from the original (976),2012-01-01
NA,976B2,976B,FALSE,South America_Brazil_Paran‡,976B,soybean,"Faxinal/PR, Brazil",single-sclerotium isolate from the original (976),2012-01-01
S,976C,976C,TRUE,South America_Brazil_Paran‡,976C,soybean,"Faxinal/PR, Brazil",single-sclerotium isolate from the original (976),2012-01-01
T,976D,976D,TRUE,South America_Brazil_Paran‡,976D,soybean,"Faxinal/PR, Brazil",single-sclerotium isolate from the original (976),2012-01-01
T,976E,976E,TRUE,South America_Brazil_Paran‡,976E,soybean,"Faxinal/PR, Brazil",single-sclerotium isolate from the original (976),2012-01-01
T,977A,977A,TRUE,South America_Brazil_Mato Grosso do Sul,977A,soybean,"Chapadão do Sul/MS, Brazil",single-sclerotium isolate from the original (977),2012-01-01
U,977B,977B,TRUE,South America_Brazil_Mato Grosso do Sul,977B,soybean,"Chapadão do Sul/MS, Brazil",single-sclerotium isolate from the original (977),2012-01-01
I,977C,977C,TRUE,South America_Brazil_Mato Grosso do Sul,977C,soybean,"Chapadão do Sul/MS, Brazil",single-sclerotium isolate from the original (977),2012-01-01
I,977D,977D,TRUE,South America_Brazil_Mato Grosso do Sul,977D,soybean,"Chapadão do Sul/MS, Brazil",single-sclerotium isolate from the original (977),2012-01-01
N,977E,977E,TRUE,South America_Brazil_Mato Grosso do Sul,977E,soybean,"Chapadão do Sul/MS, Brazil",single-sclerotium isolate from the original (977),2012-01-01
N,978A,978A,TRUE,South America_Brazil_G—ias,978A,soybean,"Rio Verde/GO, Brazil",single-sclerotium isolate from the original (978),2012-01-01
N,978B,978B,TRUE,South America_Brazil_G—ias,978B,soybean,"Rio Verde/GO, Brazil",single-sclerotium isolate from the original (978),2012-01-01
N,978C,978C,TRUE,South America_Brazil_G—ias,978C,soybean,"Rio Verde/GO, Brazil",single-sclerotium isolate from the original (978),2012-01-01
N,978D,978D,TRUE,South America_Brazil_G—ias,978D,soybean,"Rio Verde/GO, Brazil",single-sclerotium isolate from the original (978),2012-01-01
N,978E,978E,TRUE,South America_Brazil_G—ias,978E,soybean,"Rio Verde/GO, Brazil",single-sclerotium isolate from the original (978),2012-01-01
O,979A,979A,TRUE,South America_Brazil_Rio Grande do Sul,979A,soybean,"Vacaria/RS, Brazil",single-sclerotium isolate from the original (979),2012-01-01
N,979B,979B,TRUE,South America_Brazil_Rio Grande do Sul,979B,soybean,"Vacaria/RS, Brazil",single-sclerotium isolate from the original (979),2012-01-01
O,979C,979C,TRUE,South America_Brazil_Rio Grande do Sul,979C,soybean,"Vacaria/RS, Brazil",single-sclerotium isolate from the original (979),2012-01-01
N,979D,979D,TRUE,South America_Brazil_Rio Grande do Sul,979D,soybean,"Vacaria/RS, Brazil",single-sclerotium isolate from the original (979),2012-01-01
N,979E,979E,TRUE,South America_Brazil_Rio Grande do Sul,979E,soybean,"Vacaria/RS, Brazil",single-sclerotium isolate from the original (979),2012-01-01
