Number,Section,Isolate number,Isolate,Collection,Area
637,2,19,1023,second,8.249
638,2,19,1023,second,16.171
639,2,19,1023,second,14.767
640,2,19,1023,second,15.271
641,2,20,5,second,8.646
642,2,20,5,second,11.567
643,2,20,5,second,13.457
644,2,20,5,second,9.872
645,2,20,5,second,11.906
646,2,20,5,second,7.966
647,2,20,5,second,8.863
648,2,20,5,second,6.829
649,2,20,5,second,7.427
650,2,20,5,second,10.299
651,2,21,18,second,0
652,2,21,18,second,0.181
653,2,21,18,second,0
654,2,21,18,second,0.26
655,2,21,18,second,0.04
656,2,21,18,second,0.65
657,2,21,18,second,0.205
658,2,21,18,second,0
659,2,21,18,second,2.372
660,2,21,18,second,2.533
661,2,22,7,second,11.868
662,2,22,7,second,14.669
663,2,22,7,second,16.21
664,2,22,7,second,12.598
665,2,22,7,second,10.428
666,2,22,7,second,14.038
667,2,22,7,second,11.107
668,2,22,7,second,8.896
669,2,22,7,second,9.744
670,2,22,7,second,9.253
671,2,23,17,second,5.471
672,2,23,17,second,15.064
673,2,23,17,second,10.355
674,2,23,17,second,13.713
675,2,23,17,second,9.011
676,2,23,17,second,9.482
677,2,23,17,second,14.072
678,2,23,17,second,7.211
679,2,23,17,second,10.155
680,2,23,17,second,4.885
681,2,24,9,second,0
682,2,24,9,second,0
683,2,24,9,second,0.142
684,2,24,9,second,0
685,2,24,9,second,0.032
686,2,24,9,second,0
687,2,24,9,second,0
688,2,24,9,second,0
689,2,24,9,second,0
690,2,24,9,second,0
691,2,25,22,second,8.171
692,2,25,22,second,13.139
693,2,25,22,second,6.857
694,2,25,22,second,11.805
695,2,25,22,second,6.526
696,2,25,22,second,6.48
697,2,25,22,second,4.803
698,2,25,22,second,9.846
699,2,25,22,second,3.966
700,2,25,22,second,13.36
701,2,26,32,second,1.169
702,2,26,32,second,4.057
703,2,26,32,second,6.228
704,2,26,32,second,3.631
705,2,26,32,second,1.354
706,2,26,32,second,1.807
707,2,26,32,second,1.573
708,2,26,32,second,3.883
709,2,26,32,second,11.823
710,2,26,32,second,6.14
711,2,27,12,second,2.291
712,2,27,12,second,3.99
713,2,27,12,second,4.723
714,2,27,12,second,2.402
715,2,27,12,second,2.425
716,2,27,12,second,1.793
717,2,27,12,second,3.513
718,2,27,12,second,2.331
719,2,27,12,second,1.696
720,2,27,12,second,0
721,2,28,139,second,2.291
722,2,28,139,second,4.464
723,2,28,139,second,6.125
724,2,28,139,second,1.247
725,2,28,139,second,0
726,2,28,139,second,0
727,2,28,139,second,0
728,2,28,139,second,0
729,2,28,139,second,2.924
730,2,28,139,second,2.833
731,2,29,14,second,3.377
732,2,29,14,second,7.036
733,2,29,14,second,6.084
734,2,29,14,second,5.337
735,2,29,14,second,4.397
736,2,29,14,second,10.836
737,2,29,14,second,14.268
